frame,timestamp_sec,emotion,emotions_detail
65,2.737187855308039,neutral,"{""angry"": 0.006419401150196791, ""disgust"": 3.405691677471623e-05, ""fear"": 0.7205158472061157, ""happy"": 0.07422522455453873, ""sad"": 0.0007220979314297438, ""surprise"": 0.41606611013412476, ""neutral"": 98.78201293945312}"
70,2.9477407672548113,neutral,"{""angry"": 0.06878688186407089, ""disgust"": 0.00015790591714903712, ""fear"": 2.8742380142211914, ""happy"": 0.02012222819030285, ""sad"": 0.0004961445811204612, ""surprise"": 1.0946470499038696, ""neutral"": 95.9415512084961}"
75,3.1582936792015834,neutral,"{""angry"": 0.06590604037046432, ""disgust"": 0.00015192991122603416, ""fear"": 2.5610485076904297, ""happy"": 0.019190289080142975, ""sad"": 0.000500752532389015, ""surprise"": 0.9516222476959229, ""neutral"": 96.40158081054688}"
80,3.3688465911483556,neutral,"{""angry"": 0.3599872589111328, ""disgust"": 0.03473063185811043, ""fear"": 7.57546854019165, ""happy"": 0.06808629631996155, ""sad"": 0.1403862088918686, ""surprise"": 0.4516759514808655, ""neutral"": 91.36966705322266}"
85,3.5793995030951278,neutral,"{""angry"": 0.16374541819095612, ""disgust"": 0.07123953849077225, ""fear"": 5.561470031738281, ""happy"": 18.083032608032227, ""sad"": 5.190742015838623, ""surprise"": 0.09136305004358292, ""neutral"": 70.83840942382812}"
90,3.7899524150419,neutral,"{""angry"": 0.38715818524360657, ""disgust"": 0.011367340572178364, ""fear"": 1.151406168937683, ""happy"": 5.554174423217773, ""sad"": 9.385250091552734, ""surprise"": 0.002053879899904132, ""neutral"": 83.50859069824219}"
95,4.000505326988672,neutral,"{""angry"": 0.2402595728635788, ""disgust"": 4.839542452828027e-05, ""fear"": 0.25567427277565, ""happy"": 5.004180431365967, ""sad"": 4.884481430053711, ""surprise"": 0.000586901674978435, ""neutral"": 89.6147689819336}"
100,4.211058238935444,neutral,"{""angry"": 0.12553708255290985, ""disgust"": 1.5725750927231275e-05, ""fear"": 0.3860693871974945, ""happy"": 1.0900087356567383, ""sad"": 9.31289291381836, ""surprise"": 0.0002286343660671264, ""neutral"": 89.08524322509766}"
105,4.4216111508822165,sad,"{""angry"": 0.026728620752692223, ""disgust"": 0.024291470646858215, ""fear"": 0.2366621494293213, ""happy"": 1.3219064474105835, ""sad"": 95.56523132324219, ""surprise"": 0.0001423081266693771, ""neutral"": 2.8250434398651123}"
110,4.632164062828989,sad,"{""angry"": 1.0434455871582031, ""disgust"": 0.2986600995063782, ""fear"": 1.7101274728775024, ""happy"": 0.00863843597471714, ""sad"": 96.32112884521484, ""surprise"": 0.0017153689404949546, ""neutral"": 0.6162876486778259}"
115,4.842716974775761,sad,"{""angry"": 3.3475260734558105, ""disgust"": 0.061617784202098846, ""fear"": 3.5360023975372314, ""happy"": 0.06283605098724365, ""sad"": 86.5439453125, ""surprise"": 0.02755054086446762, ""neutral"": 6.420528888702393}"
120,5.053269886722533,sad,"{""angry"": 7.98948860168457, ""disgust"": 0.11349070072174072, ""fear"": 11.332636833190918, ""happy"": 0.08254683017730713, ""sad"": 70.77007293701172, ""surprise"": 0.23293432593345642, ""neutral"": 9.478830337524414}"
125,5.263822798669306,sad,"{""angry"": 13.818937301635742, ""disgust"": 0.6386132836341858, ""fear"": 10.708681106567383, ""happy"": 0.0840240940451622, ""sad"": 63.84640884399414, ""surprise"": 0.4580383896827698, ""neutral"": 10.445297241210938}"
130,5.474375710616078,neutral,"{""angry"": 2.830552101135254, ""disgust"": 0.0006029501091688871, ""fear"": 1.243340015411377, ""happy"": 0.09674875438213348, ""sad"": 7.373129367828369, ""surprise"": 0.027054492384195328, ""neutral"": 88.4285659790039}"
135,5.68492862256285,fear,"{""angry"": 29.414552688598633, ""disgust"": 0.03152376785874367, ""fear"": 33.660709381103516, ""happy"": 0.028335927054286003, ""sad"": 12.754534721374512, ""surprise"": 1.0842169523239136, ""neutral"": 23.0261287689209}"
140,5.8954815345096225,fear,"{""angry"": 18.06138801574707, ""disgust"": 0.6901586055755615, ""fear"": 55.46646499633789, ""happy"": 0.20962408185005188, ""sad"": 2.9427754878997803, ""surprise"": 21.373125076293945, ""neutral"": 1.2564570903778076}"
145,6.106034446456395,surprise,"{""angry"": 0.004183231852948666, ""disgust"": 2.0578806925186655e-06, ""fear"": 3.4233007431030273, ""happy"": 0.011367321014404297, ""sad"": 9.705391858005896e-05, ""surprise"": 96.56102752685547, ""neutral"": 2.7844014766742475e-05}"
150,6.316587358403167,surprise,"{""angry"": 0.0017818346386775374, ""disgust"": 4.183356395515148e-06, ""fear"": 2.3302597999572754, ""happy"": 0.002518237801268697, ""sad"": 1.2409671398927458e-05, ""surprise"": 97.66542053222656, ""neutral"": 7.1888957791088615e-06}"
155,6.527140270349939,surprise,"{""angry"": 0.0009542200132273138, ""disgust"": 3.3359792723786086e-06, ""fear"": 1.442626953125, ""happy"": 0.0006788783357478678, ""sad"": 9.876669537334237e-06, ""surprise"": 98.55572509765625, ""neutral"": 2.4082571599137736e-06}"
160,6.737693182296711,surprise,"{""angry"": 0.37924739718437195, ""disgust"": 7.589222406068075e-08, ""fear"": 4.982363224029541, ""happy"": 0.0003600690688472241, ""sad"": 0.014950639568269253, ""surprise"": 94.62239074707031, ""neutral"": 0.0006872769445180893}"
